id,titulo,descricao,status,data
91,Falta de luz na Ilha do Governador,"É um descaso o que a Light está fazendo com a Ilha do Governador durante a ""manutenção"" que está ocorrendo há mais de um",Respondida,Há 2 dias
92,Duplicidade de pagamento,"Boa noite, Fiz o pagamento de conta referente ao mês 11/2023 duas vezes. O pagamento em duplicidade foi feito di",Não respondida,Há 2 dias
93,Alterar e-mail e telefone no perfil de usuário.,"Preciso com urgência alterar o e-mail e telefone cadastrado no perfil de usuário na agência virtual do meu pai. Como ele é idoso,",Não respondida,Há 2 dias
94,Conta errada cód.cliente 21392071,Coloquei energia solar em minha residência e pra minha surpresa a primeira conta não veio abatendo a energia gerada pela minhas pl,Respondida,Há 2 dias
95,Nome no SPC,"Meu nome está no SPC já tem 1 mês como no meu endereço tem 3 instalações, 1 no meu nome e duas no nome do meu marido, e a do meu m",Respondida,Há 2 dias
96,Oscilação de Luz,Sou proprietária do imóvel e no prédio tem 4 relógios no qual em um a energia está no nome do meu marido Gilmar Garcia Gonçalves c,Não respondida,Há 2 dias
97,Cortaram minha luz cobrança [Editado pelo Reclame Aqui],"Cortaram minha luz por duas vezes com a conta paga, estão me cobrando uma conta de mês 11/2023 a conta foi paga por pix e eu já li",Não respondida,Há 2 dias
98,Dano no celular - Limitações nas opções de ressarcimento de eletros,"Entre 2h30 da manhã e 3h30, houveram algumas quedas de energia, presenciei 3 quedas pois estava assistindo TV, ambas levaram pouco",Respondida,Há 2 dias
99,Light [Editado pelo Reclame Aqui] o consumidor pagante,"No dia 30 de janeiro de 2024, a light interrompeu o fornecimento indevidamente do meu apartamento. Sem qualquer aviso ou justifica",Respondida,Há 2 dias
100,Falta de energia constante.,Sou morador da cidade de Paracambi RJ e venho por meio desta deixar minha indignação devido às constantes falta de energia na cida,Respondida,Há 2 dias
101,Consumo alteração,"É impossível que minha conta de luz do mês de dezembro e janeiro estejam no valores de 720,31 e 420,00, pois meus consumos são sem",Respondida,Há 2 dias
102,Ameaça de colocação do nome no serasa,"Ainda não fez um mês que a minha conta atrasou eles já estão me comunicando que irão negativar o meu nome, colocando o meu nome n",Respondida,Há 2 dias
103,ESTOU SEM LUZ DESDE O DIA 16/01/24,"Ja entrei em contato com a ouvidoria, eneel e nada resolveram. estou sem luz em minha residência desde o dia 16/01/24 . a ouvidori",Respondida,Há 2 dias
104,Conta Caríssima e Atendimento Ruim,"Por volta do dia 20 de janeiro, A conta com vencimento para o mês de fevereiro, veio com o valor cerca de 5/6 vezes o valor habitu",Respondida,Há 2 dias
105,Contas abusivas e dano de equipamento,Já há alguns meses venho realizando reclamações recorrentes junto a Light por conta de consumo acima do valor. Ocorre que eles sem,Respondida,Há 2 dias
106,Divergência na medição,Venho por meio desta informar que o senhor marcador de luz esteve no dia 29/01/2024 fazendo a marcação e o mesmo não ágil de boa f,N/A,Há 2 dias
107,Cobrança [Editado pelo Reclame Aqui] e Conta paga,Venho requerer a esta companhia de energia Eletrica retire da minha conta o Art 323 - FAT sendo cobrado de maneira vexatória pois,Respondida,Há 2 dias
108,Cobrança [Editado pelo Reclame Aqui],"Fiz um acompanhamento e observei que de acordo com o meu histórico de consumo, a light em janeiro de 2024 cobrou um valor absurdo",Respondida,Há 2 dias
109,COBRANÇA [Editado pelo Reclame Aqui] - MEDIDOR COM ESTIMATIVA DE LEITURA ABSURDA!!,"Estou reclamando de um conta absurda que a cada mês é uma surpresa, onde um mês diz que não tive consumo e geração alguma e no out",Respondida,Há 2 dias
110,"Bairro de cavalcante rj abandonado pela light, quedas de luz do nada","Sou morador de cavalcante rj e desde o verão do ano passado a rede eletrica da região virou uma piada, quedas de luz constantes no",Respondida,Há 2 dias
111,Cobrança absurda,"Boa tarde a Light enviou segundo fui informada por telefone informações para meu email no qual não estou conseguindo acesso, gost",Respondida,Há 2 dias
112,Light,"Boa tarde! Venho por meio desta reclamar dos serviços da light, a mesma no dia 14/01/2024 mexeu na caixa de luz do poste e desde e",Respondida,Há 2 dias
113,Demora no atendimento,"Fiz uma reclamação com a emergência da light, pois os dois cabos positivos que vem do poste da light, para o meu, estão quase enco",Respondida,Há 2 dias
114,Nao existe fale conosco na agência virtual,"Tive minha conta juntada por um erro da própria light , que nao sei como ( conseguiram fazer isso) passaram nome de meu vizinho na",Não respondida,Há 2 dias
115,Fio cortado do poste até a minha casa e a Light,"Eu tenho três fases na minha casa. Mas, desde que comprei o meu imóvel no ano passado eu tenho vivido com apenas duas fases, pois",Respondida,Há 2 dias
116,Transformado,Estamos com um transformador na rua instalação mal colocado Rua Silva Cardoso 172 em frente a superlar de bangu,Não respondida,Há 2 dias
117,Funcionários vieram fazer instalações de relógio compraram comida e não pagaram,Dois de alguns funcionários que fizeram instalação na santa Maura 190 compraram comida e não pagaram o valor total do pedido.,Não respondida,Há 2 dias
118,Light não resolve problemas de fase,"Estamos com problema de fase no predio da ******* em Vaz lobo (21361-090) há DIAS. DIIIIIIIIIIIIAS! Eletrodomésticos já pifaram, q",Respondida,Há 2 dias
119,Falta de Luz Ilha do governador (3),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de luz.,Respondida,Há 2 dias
120,"Falta de luz na Rua Moura Brito, Tijuca devido a um problema num transformador. Moradores reclamando há quase 48 horas sem atendimento.","Defeitos reincidentes no transformador da Rua Moura Brito, na Tijuca, deixam moradores sem luz há quase 48 horas. Apesar das recla",Respondida,Há 2 dias
121,Site não funciona,Entrei no site para gerar um pedido de emergência e quando manda registrar dá erro de erro server assim fica difícil. Mais na h,Respondida,Há 2 dias
122,Problemas na conta de luz,"Minha conta estava vindo todos os meses um valor, constando na conta que estava sendo cobrado o consumo por LEITURA ESTIMADA. Agor",Respondida,Há 2 dias
123,Prédio há 15 dias sem luz,O prédio onde moro localizado na Rua da Chita em Bangu está com problema coletivo de falta de luz há 15 dias sem luz a bomba de ág,Respondida,Há 2 dias
124,20h SEM ENERGIA!!,Estamos com problema crônico no Residencial Vila Verde (Estrada do morro cavado 2270- Guaratiba-RJ). Todos os dias temos quedas de,Respondida,Há 2 dias
125,Constrangimento,"Prezados senhores,Na data de 01/02/2024 recebi no meu prédio um funcionário uniformizado da light com um documento de cobran",Respondida,Há 2 dias
126,Cobrança [Editado pelo Reclame Aqui],"Boa tarde, tudo bem? No dia 18/11/2023, às 15:14, conforme sempre fiz retirei pelo aplicativo whatsapp Light Clientes o código de",Respondida,Há 2 dias
127,Cobrança [Editado pelo Reclame Aqui] por Inadimplência de Terceiros,"Sou idoso com 61 anos de idade, cheio de comorbidades e problemas sérios de saúde. Hoje, ao abrir o app do Serasa, tomei nota de q",Não respondida,Há 2 dias
128,Religamento de luz,"Cortaram a minha luz por duas contas que nao estavam no meu nome e nao foram passadas a mim pra serem pagas, no imovel que recente",Respondida,Há 2 dias
129,Não deram baixa na conta paga,"A light está me perseguindo, não é possível tanta incompetência. Paguei a conta de luz referente ao mes de dezembro/2023 no dia 15",Respondida,Há 2 dias
130,Mais de 14h sem energia elétrica,"Bairro da Freguesia, Jacarepaguá, encontra-se desde 19:30h do dia 31/01/2024 até 12:21h, do 01/02/2024, presente momento sem forne",Não respondida,Há 2 dias
131,Tenho Um apartamento em bangu na Rua bela flor-99 apartamento 501 que está sem luz.,Estou sem luz ha 5 meses e a light não resolve nada tem que fazer uma religação do poste para dentro do pc do prédio ja foram vari,Respondida,Há 2 dias
132,Cobrança 370% acima da média histórica e a empresa diz que não!,"Fiz a reclamação inicial, no canal online da Light, indicando que o valor da cobrança estava completamente discrepante. Recebi uma",Não respondida,Há 2 dias
133,Falta de energia elétrica na maioria dos cômodos da minha residencia,"No domingo dia 28/01/2024, durante a forte chuva que caiu aqui no meu bairro, Freguesia - Jacarepaguá houve vários picos de energi",Respondida,Há 2 dias
134,falta de energia problema transformador,Ocorre que na falta de luz no meu prédio e outros três por problema no transformador a Light tem que entrar no prédio vizinho que,Respondida,Há 2 dias
135,Aumento de carga não concluído,"Pedi um aumento de carga no dia 24/01 e no sistema o prazo final para concluir o serviço era dia 31/01/2024 no caso ontem, eles nã",Não respondida,Há 2 dias
136,Luz piscando,"Durante a ultima semana de janeiro de 2024, e hoje dia 01/02/2024, a luz tem piscado constantemente. Acaba luz e volta em 30 segun",Respondida,Há 2 dias
137,12 quedas de Luz em 24 hs,"Está constante as quedas rápidas de luz. Mas nas últimas 24 hs. Aconteceu 12X, quero saber quem vai pagar meus equipamentos quando",Respondida,Há 2 dias
138,Picos de energia,"Desde ontem, dia 31/01/2024 estou tendo muitos picos de energia o dia inteiro que infelizmente se estenderam para o dia de hoje 01",Não respondida,Há 2 dias
139,Paguei duas vezes a mesma conta e não consigo contato para acertar,"Tenho duas instalações no meu nome, estou falando aqui a instalação no meu apartamento, endereço da *******, no condomínio. Pague",Respondida,Há 2 dias
140,PAGAMENTO EM DUPLICIDADE,"Minha conta vence dia 05 e esta registrada no debito automático, em janeiro a conta não foi debitada e realizei o pagamento atravé",Respondida,Há 2 dias
141,DEMORA NO PROCESSO DE AUMENTO DE CARGA PARA DOIS MEDIDORES,Bom dia.Fiz um pedido para solicitar DOIS AUMENTO DE CARGA em um PC que reformamos conforme solicitado.A L,Não respondida,Há 2 dias
142,Enganada,"Esteve na minha porta um representante da light, operador 2265282, trazendo na mao uma maquininha e falou q vinha cortar minha luz",Respondida,Há 2 dias
143,cobrança acima do usado,"Possuo uma casa na Rua Bucareste 813 casa 1 VigarioGeral, com o código de instalação da Light*******, com o nome do cliente Elinia",Respondida,Há 2 dias
144,Parcelamento de débitos,Cortaram minha luz e eu queria parcelar os débitos para conseguir quitar e restabelecer minha energia pois tenho criança pequena e,Não respondida,Há 2 dias
145,CONTA ABSURDA FORA DO NORMAL !,"Bom dia, hoje quero fazer uma reclamação sobre minha conta de luz, no condominio aonde eu moro aumentou um absurdo ou alguém está",Respondida,Há 2 dias
146,CORTE INDEVIDO DE SERVIÇOS,"Prezados,Venho por meio desta expressar minha profunda insatisfação em relação aos serviços prestados pela Light. No dia 06/",Respondida,Há 2 dias
147,FALTA DE ENERGIA A MAIS DE 12 HORAS,ONTEM DIA 31/1/2024 AS 21:3 DA NOITE FIQUEI SEM ENERGIA E EM SEGUIDA ENTREI EM CONTATO COM A LIGHT NA QUAL INFORMOU QUE A LUZ SERI,Respondida,Há 2 dias
148,FALTA DE ENERGIA,"A queda de luz esta virando rotina, esta ficando realmente complicado, pois a gente perde comida que tem que ser armazenada na gel",Não respondida,Há 2 dias
149,Falta de Energia Constante!,"Estamos com falta de energia quase que diariamente, no meu caso já perdi diversos eletrodomésticos e caso de alimentos estragados",Respondida,Há 2 dias
150,Descaso total com o consumidor,"Há meses tenho sofrido com a falta de energia toda vez que ameaça chover. em Dezembro, abri uma solicitação para poda de galhos qu",Respondida,Há 2 dias
151,CORTE SEM AVISO,"Dia 31/01 a Light cortou a minha energia sem ao menos um aviso. SMS, e-mail, telefone Há cerca de 3 meses entrei em contato com a",Não respondida,Há 2 dias
152,Contas em aberto em processo judicial,COMUNIDADE EVANGÉLICA PROJETO VIDA CNPJ: 39.559.976/0001-34 CÓDIGO CLIENTE: 20442765Código instalação: 413595828,Respondida,Há 2 dias
153,Vistoria e troca de medidor para GD em extremo atraso,"Me encontro com diversas solicitações de vistorias/ troca de medidores para geração distribuída em extremo atraso, é inadmissível",Respondida,Há 2 dias
